label,text
NOT,@USER funny how he thinks he is soooo important . . . not . . . 😂
NOT,#VictoriaSecrets being political ? omg . . . give it up . you are killing half your profits when you slur conservatives . 🇺🇸 #KAG url
OFF,@USER hahahaha omg these people . they thought they would have their way forever . idiots
NOT,@USER yes it's valid . i explained earlier she had not used her old one for over 2 years but on sep 3rd she requested a new one . this arrived within 3days . she has now got her pin via on line banking . but she is still going to the bank tomorrow to find out why the pin and telephone code
NOT,@USER oh he is more than that lol
OFF,"@USER yep . and lots of people think antifa = violent "" and don't understand the context in which they operate and what they're opposing . like the biggest thing was over a year ago at unite the right , where a white supremacist killed someone and several other people were attacked . """
NOT,@USER awesome 👏 news
OFF,@USER bono can go away now the 90s are over you sick now
NOT,@USER he always shows dedication at what he does no wonder he is the best url
NOT,. . ya commie pinko . . . #MAGA url
NOT,@USER 3 pitches right down the middle while no one else is having trouble with this guy . its unbelievable he is playing with the season on the line
NOT,"@USER can you even imagine being a loser , "" said lil' antifa . """
OFF,@USER @USER @USER you are a sick person
NOT,@USER how come they only asked 2 questions on gun control ? that guy is in for sure
NOT,@USER your segment with judicial watch tom fitton was awesome ! thank you for asking the questions highlighting all the great work he is doing for this country !
NOT,calif buys more #MAGA url
NOT,@USER only the real ones .
NOT,@USER @USER as per my friends that were correctional officers in corcoran state prison . . yes he is .
OFF,@USER you are a hero ! ! url
NOT,7 car and truck ramming attacks in europe and america's gun control lobby url
NOT,@USER no wonder antifa wunderkind @USER wanted to work with you .
NOT,@USER @USER @USER who's singular wiped out a number of lib dem councils in the north by going into bed with the conservatives thus losing local election seats . now we have him trying to turn over a democratic vote on #Brexit . url
NOT,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER ( s ) he is very affectionate and purrs non-stop .
NOT,@USER he went broke and got propped up by white liberals in hollywood . that's white privilege all day long . stop defending coke head tom arnold .
NOT,@USER @USER if you look at his antifa list . . . . you will note many high profile names . i intend to comment on these accounts using his twitter account name . . . just to inform . . . . . . he is aware i have reported him to twitter . . . he sent an angry tweet my way .
NOT,organized resistance : the leaking campaign at state dept to derail the maga agenda url via @USER
OFF,@USER @USER is mentally disturbed
OFF,@USER morals ? you mean like aborting an infant ? falsely accusing people ? antifa violence ? censoring free speech on campuses ? looting ? lying as you fill the deep state ? those morals ?
NOT,@USER @USER give me the pounds wanka
NOT,@USER liberals always find a new low to achieve
NOT,@USER you are right . victoria is on the reverse . . . 😱
OFF,@USER she is so fake
NOT,@USER @USER smudge is definitely #TeamDanny ! here she is spreading the word ! url
OFF,@USER @USER no no that's shaq silver back looking ass 😂😂
NOT,when under siege over a bs stand . . . double down . #CultLogic #MAGA url
NOT,@USER such good news ! i hope she is better soon !
NOT,@USER wait for it . the dims are going to preach gun control . . . .
NOT,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER ty followed all need one follow back hope to see them follow to #MAGA #KAG
OFF,@USER bill you should be silent on gun control and immigrantion . you had 8 years and did nothing . don't be a monday morning quarterback now . to little to late .
NOT,@USER i follow civil liberals or center-left people and a few of them i've interacted with for yrs . i learn from them occasionally and hopefully vice versa . never thought about blocking them . i guess a shift is what ppl might see as problematic 🤷🏻‍♂️
OFF,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER look at the pot calling the kettle black . liberals have been pulling all sorts of stunts trying to get rid of your/my/our president ever since hillary hilariously lost the election .
NOT,@USER @USER @USER you claim you read the academic piece i linked to . it spells that out pretty clear . do you wonder why this genre of race writing is so popular with upper/upper-middle class white liberals ?
NOT,@USER 😭😭😭😭😭😭 i want him 😭😭😭😭😭😭 thank god i am in the hospital to get revived .
NOT,@USER @USER ya and it looks like he is in a lit of the same mma accounts as we have . weird .
NOT,@USER yes respecting the studio's budget and shift in demographic but lets be honest . we want more . ᴳᵉᵗᵗᶦⁿᵍ ᴵⁿᵈᵉˣ ³ ᶦˢ ᵗʰᵉ ᶠᶦʳˢᵗ ˢᵗᵉᵖ url
OFF,@USER @USER she's trolling to fuck with you cause some of y'all be quick to call mfs coons for minor disagreements
NOT,@USER @USER @USER @USER @USER lab turned down the deal with lds
OFF,@USER @USER @USER i'm sure she's worried . give me a break . dana is doing a job . you know where u make a living and pay for your own healthcare etc . you dirt bags that don't even shower crying about gun control should try it .
OFF,@USER she should ask a few native americans what their take on this is .
NOT,@USER @USER @USER and are now the nazi party . . . antifa url
OFF,@USER serial rape didn't seem to be a problem for liberals with bill clinton and hillary who enabled him ? go figure - can you say hypocrisy ?
NOT,@USER what does she think she has done to kavanaugh family ? you can't throw crap out there and not back it up . nothing but a stall tactic . liberals would fight anyone being appointed
NOT,@USER u know this ford is an avowed radical leftist with ties to soros and antifa right ? plum crazy !
OFF,"@USER @USER don't let your bretheren "" fool you ! each one of your republicans , need to decide if you are going to be good people or #rePUNKlicans ! you need to know , that kavanaugh is going to make #ronaldgrump into the first dictator of #naziUSA , which cannot happen ! url"
NOT,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER hi bee gee ! ! ! you are so cute ! ! ! 😸😘
NOT,@USER @USER no deal it is then . if only the @USER would grow a pair &amp ; dump the appeaser @USER
NOT,@USER @USER you are funny 😂 url
NOT,#war in conservatives#war on unborn babies#war on education#war on civility url
OFF,@USER @USER he is such a con apparently finds are running low😏
OFF,@USER at least you've been some type of fucked
OFF,@USER @USER @USER @USER @USER @USER @USER @USER @USER antifa unmasked and up close ! hey is that who i think it is ? ? ? p . s . they are so stupid no one told them a white raised fist stands for “white power”so thanks d*mbasses ! url
NOT,@USER @USER @USER @USER @USER @USER @USER i cited the constitution . that's not good enough for you ?
NOT,@USER which side has #Antifa and the #Handmaids ? who you calling “radical”
NOT,@USER @USER my president i elected loves american citizens . you liberals have shown your true colors . you are ant- american with horrible morals and lawless behavior . you cant relitigate the 2016 election . he will be re elected too . get used to it !
NOT,@USER @USER @USER @USER @USER @USER @USER true . but are all school shootings and accidents with toddlers done by bad criminals who would know how to get a gun ? highly doubt it . these are spontaneous acts/accidents that would be dramatically reduced by gun control .
NOT,@USER @USER @USER =a good speaker @USER good listener #MAGA 🇺🇸
NOT,@USER @USER oink url
NOT,#Westminster @USER #Tories @USER @USER #Brexit 🇬🇧 @USER #Brexiteers @USER exactly why the #UK is getting #OutOfTheEU ffs 😠 #Hungary tries to defend its borders &amp ; the #tyrannical #EU #dictatorship stamps down hard 😠 #ThirdReich 😠😠 url
OFF,@USER @USER but the president . he is that bad !
OFF,@USER fucking s league football hahahah url
OFF,sean penn : #MeToo movement seeks to 'divide men and women' url &lt ; — gotta say… i stand w/ jeff spicoli on this one . url #MAGA #WWG1WGA #ConfirmKavanaugh
OFF,@USER lol lol lol lol lol ! ! ! ! ! ! ! 😂😂😂😂😂😂😂 . you are a fool ! ! !
NOT,@USER it's about time . a civilised nation needs tougher gun control . man only backwards countries don't
OFF,@USER @USER @USER fuck you . . . if she dare then why didn't she choose any other granth . . haha . . m sure she is looking for some publicity . . bible or kuran . whatever her intention was but she done a drama . may be she want to start any business that requires public intention .
OFF,@USER doug ford should in no way think that he has carte blanche to make whatever changes benefit him personally and satisfy his need for vengeance against the people of toronto . shame . what he is doing is not democracy .
OFF,@USER @USER @USER @USER name the social injustices caused by the gop and the death of anyone caused by members of it i dare you . how many people have lost their lives to the idiocy of gun control ?
NOT,@USER lol you are representing your case well 😛 i'm gonna give call to my lawyer matt murdock . wait don't say he isn't coming back . 😪
NOT,@USER he is cute .
OFF,the only reason they call them common sense is because they don't know what they want and are just hopping on the bandwagon . #MAGA #2ADefenders #TrumpTime url
OFF,@USER @USER @USER @USER interesting when demoncraps aren't even inventive enough to create their own cartoons . this is originally put out by republicans - liberals are the koolaide drinkers and always have been . liberals are also the scum of the earth and prove it daily through their lies
OFF,@USER @USER just chicago so they can stop the gun violence . seems that is what democrats claim will stop it . show us in one of the worst gun violence cities controlled by democrats so the nations will see how that works . make it a model of successful gun control policies .
OFF,"@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER yeah . that's kinda the fashy thing right now . the proud boys scumbags wear tshirts saying pinochet did nothing wrong "" and antifa are the ones who are violent ? please . it's been an actual fascist every time this has been brought up in my experience . like dude here , who stopped . . """
NOT,@USER @USER you are not in touch with really .
OFF,@USER @USER and if there is gun control in usa -who will be rounded and exterminated ? ?
NOT,@USER i bet . why do think dirt bag pubs like the national inquirer are still around . smut and lies sell we can only hope someone writes a tell all bullshit story about woodward or better yet even one about you . instead of fear” it could be called “pervs” . url
OFF,@USER @USER @USER @USER kamala harris is rapidly gaining a reputation as the most dishonest senator
NOT,@USER do you know who else is better off under the @USER @USER tax policies ? see chart morneau shepell stock vs tsx over the last three years since bill came to power . only an 80% bump over 3 years . #liberals #friendsandfamily #ethics #cdnpoli url
OFF,@USER maybe because you've provided a play form for hate groups with no criticism or criticism-lite while bashing antifa with zero analysis
OFF,@USER @USER sleazy and greasy ! ! !
NOT,@USER @USER @USER i remember when conservatives slagged off the labour party as 'undemocratic' for allowing unons such a big say in labour policies .
NOT,@USER @USER i appreciate the self promotion #Tweet . great advertising and i love what @USER does for the #community and helps to #MAGA the #FargoLowes has a great group of people . #Thanks #hurricaneFlorence #business #hurricaneseason #TuesdayThoughts #Technology #investments
OFF,@USER @USER @USER @USER @USER it's already legalized killing of babies and liberals are afraid of trumps supreme court picks taking it away .
OFF,@USER republicans /conservatives are the most disgusting people
NOT,@USER @USER he is a senator and trump is president . he's not wrong .
NOT,@USER she is very beautiful also her hair .
OFF,@USER and these are the *people pushing for gun control 😒
OFF,10kids from different women from this american jobless men ? nigerian men you are the bomb ! ! !
NOT,*mom speaks into her phone to compose a text for my brother* she is angry so she yells at the phone while telling it what to type like my brother will be able to tell she was even yelling 🤦🏻‍♀️
OFF,@USER @USER jeff i have a lot of respect for you . please vote no to brett - not because you don't like him but because it's the right thing to do . he has lied - he is hiding documents - he thinks trump is above the law . this is wrong ! ! !
NOT,@USER @USER you have a lot to atone for . you better atone for all your lies . i used to think you were a better person . i can't see anything but evil .
NOT,@USER @USER what is dier ? imagine being durham and coming out with that . . . . what even is this shite it's just irrelevant pish . . . . what level of stupid have you got to be to listen to this painful waste of airtime
OFF,@USER how fucking sad 😣
NOT,@USER @USER give me an h give me a y give me a p give me an o give me a c give me a r give me a i give me a t give me a e give me an s what's that spell ? liberals
NOT,@USER joe's number one rule is respect 90 . wc did not . i love the kid . he is kinda gassed . frustrated that hitting went bad after all star game . he will learn from it . go cubs !
NOT,@USER that she is holding a benz car key 🔑
OFF,@USER leona alleslve was the weakest link in the liberals . she is the last thing we need during canada's nafta negotiations . its a good thing she is out of our military with her traitor tendencies . get out of government too .
NOT,@USER correction : the liberals won a false-majority on the backs of a lot of close races – emphasis on “false . ” #ElectoralReform
NOT,@USER @USER liberals aren't bright .
NOT,@USER @USER @USER but under #Trump they agreed to take him back to germany . so thank you @USER ! !
NOT,@USER @USER @USER @USER @USER and then to cap it off the £1 . 14bn figure ignores the drip down effect of those families spending their money in small and big businesses generating jobs consumption taxes etc . it really hasn't been thought through #HMRCHumanCost #2019LoanCharge
OFF,@USER @USER here come the beta liberals lmao *convo muted you can cry all day to yourselves .
NOT,@USER @USER @USER the splc have also listed antifa and blm as well soooo . . .
NOT,@USER @USER there was plenty of evidence that he was guilty of what hill accused him of but since conf hearings aren't about guilty/innocence got on the bench . times are diff now . why as a journalist you don't call out white supremacy/alt-right but antifa and pick on @USER
NOT,@USER @USER @USER you are clearly not a pokemon master ! i have almost 400 in rare candy alone . over 150 legacy moveset pokemon . it just all depends on what you like to keep as collection pieces and what you value in the game .
OFF,@USER @USER @USER @USER ☝️ this is why conservatives and law abiding citizens don't come to the table about gun control . it not about lunatics like this guy that should no longer own weapons . its about removing all guns slowly but surely from everyone regardless of who they are . url
OFF,@USER no nigga
NOT,@USER everyone ? wow . that must have been an *exhaustive* research project . url
NOT,@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER '😂 . . . . it's all about maga for me . . . . as a very dear friend says •1million followers and $1 . 95 will buy you ☕️😂 #FACT
NOT,and i gotta wait till march for the dlc that comes out 🤦🏾‍♂️
NOT,@USER @USER needs to retire . she is done .
OFF,@USER anyone is a target for the leftist liberals . goal ? decent god-fearing conservatives will pass on gov service ! result ? the country is harmed ! congrats to liberals - your antifa anti-america blossoms !
OFF,@USER @USER @USER please stop calling the losers “elite”
OFF,@USER she is not a cheater . that chair ump robbed her .
NOT,@USER comes with the territory but i'm going to say it's the same leftist that control antifa . . . just to make more out of it than it actually is ! just saying
NOT,@USER follback
OFF,@USER @USER serves the bastards right !
NOT,@USER and trending is the comment “can we start with rosie”
NOT,@USER @USER @USER thanks for proving democrats can't let their people think . proving again liberals are all talk . just like senator feinstein pelosi . they always go to no facts just destroy . just like the politicians of puerto rico have destroyed and rob the state of all of its financial resources
OFF,@USER because of obama and holder more cops are getting killed each year because they hated law enforcement and encouraged civil unrest .
OFF,@USER @USER you'd also know this isn't about women at all b/c democrats don't call for justice for women assaulted by democrats when there is both evidence of injury &amp ; police reports . you'd know dems only demand conservatives be found guilty upon accusation . you'd know this is all political . url
NOT,@USER @USER @USER what was the average wage to average house price when thatcher was in charge ? that ratio is the fundamental reason . build as many as you like but if they are not genuinely affordable you're just wasting resources .
OFF,@USER am i an ass or is it kinda weird char wore a shirt to wrestle the lesbian ? i'm joking . . . . but not really
OFF,@USER @USER choosing heartless politician over your ancestors country . speaks volumes as to who you are .
NOT,@USER he's a big crybaby because he didn't get his way for the 2016 election
OFF,@USER lol you escaped some shit then . . . even if i don't regret watching it for a minute . #LoyalWolf
NOT,@USER @USER is culturally appropiated a latino nick name . #latinosfortrump !
NOT,@USER you rock laura . we need the rinos exposed . they are hiding behind republican status . we need new blood in november . it has to continue to 2020 . maga our forefathers would want us to save our country .
NOT,"@USER so wait . conservatives are crying about needing their safe spaces "" all of the sudden . how liberal elite college of them . """
NOT,@USER @USER &amp ; his fellow democrats always put partisan politics before country . the american people laugh in his face as he lies and tries to bring down the most successful president in generations . why are socialists like @USER so eager to collapse the economy ?
OFF,@USER he is what the industry stands for . all about spreadsheets and no care for the human side .
NOT,"@USER she is basically saying in code : even though i am a nevertrump spoiled little rich girl from andover , i secretly want to date mark c . - i hope his wife and family are okay with it . . . "" se stands for "" sad endeavors "" url"
NOT,@USER @USER @USER @USER @USER agreed and what i'm saying too .
NOT,@USER @USER i am beginning to believe that all liberals are sociopaths . none of the people here believe in rule of law . you have to have evidence of a crime to go any further #ConfirmBrettKavanaughNow
NOT,@USER @USER this pope has to go .
NOT,@USER @USER @USER @USER @USER @USER 1 ) a fetus may or may not become a baby . 1/3 or pregnancies end in miscarriage . if a woman had pregnancy complications that could kill her are conservatives going to let her dies because the fetus she is carrying has a 2/3 chance surviving ?
NOT,@USER @USER what does that have to do with anything at all ? 😂🤣 the level of discourse from liberals is embarrassing
OFF,@USER that's shitty
NOT,@USER just followed you ! nice to know there are liberals in florida ! adearfriendnjust moved there and is surrounded by red !
NOT,@USER @USER and that is why he is trying to end obamacare so that only a priveledged few can benifit . but his tax cuts are killing us anyway . url
NOT,@USER u both r my lifeline❤🙏😂 @USER
OFF,@USER @USER you look happy . maga
NOT,@USER but where is antifa going to shop now ?
OFF,@USER you are one of the mastermind of a big syndicate at boc . we will not forget . you will go to jail ! 😡 #FakeDrugWar
NOT,@USER @USER @USER buckwheat in the 1930's . pretty sure he and eddie aren't promoting white supremeists . #MAGA url
OFF,@USER @USER @USER way more accurate than most theories . most history ancient egypt ect is all made up bs . it's all been fabricated for us i don't claim to know why . but if you start looking into history ect there's no fucking proof of anything . enjoy the show . our consciousness is def changing #Doit
NOT,@USER @USER the gibraltar people will be hostages in the remaining #Brexit negotiations . do @USER or the @USER care ? not a fig !
NOT,@USER @USER she is and also a goddess
NOT,@USER he's quite beautiful for what he is
NOT,@USER @USER @USER @USER they're trying . . it's called antifa ! 😒
NOT,@USER the laughs i've gotten from you are enough . 😌
NOT,@USER @USER the films with bale in got sucky as they went along ? so what you're saying is that batman begins was better than the dark knight and dark knight rises ? your comment makes no sense therefore you are invalid
NOT,@USER @USER gun control and divorce though
NOT,@USER how much money has the conservatives promised for housing over the last ten years ? and how many houses have actually been built . there promises don't add up .
NOT,@USER then why are you on my page ? why don't you stick with your merry trump mates if you think you can get a rise out of me you are sadly mistaken about that and other things
OFF,@USER @USER @USER @USER that's just depressing . good churches are getting hard to find . few and far between . i know people who belong to churches that espouse gun control and abortion ! that's politics - not god ! not christ !
OFF,@USER wow @USER you are so cute
NOT,@USER @USER @USER @USER dont tell me she is at it again
NOT,@USER fact is . . . it's up to us to vote republican to make sure that doesn't happen !
OFF,@USER @USER she's probably a millionaire now and once they get paid all that money to slander and ruin someones name they go away because they don't want to get sued for slander/libel . the democrat party pays a lot of money to get people to make false accusations against conservatives .
NOT,"@USER @USER revkin spreading important news . "" ? ? ? ? ? ? ? ? ? ? ? ? ? ? andy sees himself as an intellectual 2 . this is what us real liberals r stuck with from public figures . then the faux liberals-like andy-wonder why we real liberals dont care anymore . """
OFF,@USER @USER can't stand to listen to that puke . i change the channel when he speaks . he believes his own lies ! ! . . . . they're all nuts ! ! #LeftWingLiberalDisease #WalkAway #VoteRedToSaveAmerica 🇺🇸🇺🇸 #MAGA 🇺🇸🇺🇸
NOT,🛑 gateway pundit news 🛑 👉 judicial committee chair grassley goes off on feinstein – says she refused to join him on call with far left accuser url #MAGA 🇺🇸 ￼￼ #2A #Prolife
NOT,@USER @USER @USER @USER i would say you have a serious case of bias . have you seen the handiwork of antifa ? have you seen the dems like maxine waters calling for trump officials to be harassed then laughing about it . i could go on . are you kidding me ?
NOT,@USER aight i thought gun control and unaffordable healthcare was the issue snm 😪
NOT,@USER @USER i love the mental attitude you have on these things and how straight up you are about stuff
OFF,@USER @USER @USER says the man who stands against sensible gun control . #hypocrite
NOT,@USER liberals always be liberalling . url
OFF,@USER that shit got me dead ! ! eager ass boi !
NOT,"1/ party conference is a good time to remind parties , particularly the governing party @USER what their mandate actually is and what it is not . what exactly is the will of the people "" on #Brexit ? """
NOT,@USER ever heard of antifa or soros ? now now that's radical .
NOT,@USER i hope you are right
OFF,@USER @USER @USER restricting ammo is infringing upon right to bear arms . how about women can have abortions but restricted to 1-3rd week of pregnancy and must be registered easy test of gun control laws - apply them to other rights to see if they'd be supported . if not then they are bad
OFF,#serenawilliams yes she should be boycotted . she is a nasty bit of work .
OFF,@USER but not long ago the same ray went off on a follower ( who quite possibly pays for his services ) for pointing out a guy ( don't remember who ) for getting injured again . you guys pay this assholes bills
NOT,@USER truly sad there are so many other things we shud be talking abt gun control homeless getting those kids back 2 their parents but it's this 🦊news still talks abt u know donald trump has truly separate this country in many ways not just one way but many ways url
NOT,@USER @USER @USER you must like the antifa style guy . you don't know what a decent moral man looks like .
OFF,@USER acting like an ass is not a good view .
NOT,@USER you are amazing and talented and i hope you have an amazing night 💘💕💖💘
NOT,". i think it's time we stopped being polite to and about the left . they are not good people , they are walking filth . small l "" liberals are their stooges , who don't see they are being used to destroy this country . """
OFF,@USER don't even know the subject but i'll side with sarandon only because she has class ( even if i disagree with her ) against the classless rambling fool . 😁
